"Structure_ID"	"Hypergeo_pval"	"Original_molecule_SMILES"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"2620"	"4615"	"1"	"C[C@](CC1=CNC2=C1C=CC=C2)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)NC[C@H](NC(=O)CCC([O-])=O)C1=CC=CC=C1"	"MIPE"	"NCGC00346874-01"	NA	"CAS:130404-91-0
130332-27-3 (free acid)"	"Mechanism: CCK2 (CCKB/Gastrin) Antagonists "	"Source: Tocris/2607"
"2621"	"4619"	"1"	"C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F"	"MIPE"	"NCGC00167487-01"	NA	"CAS:113299-40-4"	"Mechanism: Androgen Receptor Antagonist"	"Source: Selleck/S2241"
"2622"	"4620"	"0.417840375586854"	"C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O"	"John Hopkins"	"JHU- 6350"	NA	"Therapeutic area: Antihypertensive"	NA	NA
"2623"	"4622"	"1"	"C[C@]1(CCCN1C1=NN2C=CC=C2C(NC2=NNC(=C2)C2CC2)=N1)C(=O)NC1=CN=C(F)C=C1"	"MIPE"	"NCGC00346453-01"	NA	"CAS:1001350-96-4"	"Mechanism: IGF-1R Inhibitor"	"Source: Selleck/S1124"
"2624"	"4623"	"1"	"C[C@]1(CCSC(N)=N1)C1=CC(=C(F)C=C1F)C1=CN=CN=C1"	"MIPE"	"NCGC00346719-01"	NA	"CAS:1194044-20-6"	"Mechanism: beta-Secretase Inhibitor"	"Source: Selleck/S1528"
"2625"	"4626"	"1"	"[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"MIPE"	"NCGC00091009-05"	NA	"CAS:58-18-4"	"Mechanism: Aromatase Inhibitor"	"Source: Selleck/S1678"
"2626"	"4627"	"1"	"C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"	"NIHCC"	"SAM001246746"	"GPHR-00104082"	NA	NA	NA
"2627"	"4629"	"1"	"C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(O)=C(C[C@]4(C)[C@H]3CC[C@]12C)C=O"	"NIHCC"	"SAM001246765"	"GPHR-00104131"	NA	NA	NA
"2628"	"4630"	"1"	"[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC3=NNC=C3C[C@]12C"	"MIPE"	"NCGC00344550-02"	NA	"CAS:10418-03-8"	"Mechanism: Synthetic Steroid"	"Source: Selleck/S1788"
"2629"	"4633"	"1"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"	"MIPE"	"NCGC00090766-08"	NA	"CAS:53-03-2"	"Mechanism: Glucocorticoid steroid"	"Source: Selleck/S1622"
"2630"	"4635"	"1"	"CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO"	"John Hopkins"	"JHU- 12165"	NA	NA	NA	NA
"2631"	"4636"	"1"	"OC(=O)C=C/C(O)=O.[H][C@@]12CC[C@H](C(=O)CN3CCN(CC3)C3=NC(=NC(=C3)N3CCCC3)N3CCCC3)[C@@]1(C)CC=C1[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"	"LOPAC"	"U5882"	"U-74389G maleate; 21-(4-[2,6-di-1-Pyrrolidinyl-4-pyrimidinyl]-1-piperazinyl)pregna-1,4,9[11]-triene-3,20-dione (Z)-2-butenedioate maleate"	"Free radical lipid peroxidation inhibitor"	NA	NA
"2632"	"4638"	"1"	"[H][C@@]12CC=C(N3C=NC4=CC=CC=C34)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C"	"MIPE"	"NCGC00346711-01"	NA	"CAS:851983-85-2"	"Mechanism: Selective Androgen Receptor Modulators (SARM)"	"Source: Selleck/S2803"
"2633"	"4639"	"1"	"C[C@]12CCC3C(CCC4=CC(=O)C=C[C@]34C)C1CCC2=O"	"Spectrum"	"01701001"	NA	"CAS: 897-06-3 Source: mammary neoplasms; cholesterol metabolite Status: undetermined activity Literature: J Am Chem Soc 80: 6148 (1958); 83: 4627 (1961)"	NA	NA
"2634"	"4640"	"1"	"[H][C@@]12CC[C@@](O)(C#N)[C@@]1(C)CCC1C2CCC2=CC3=NC4=NC5=CC=CC=C5N4C=C3C[C@]12C"	"LOPAC"	"W104"	"WIN 62,577; 17-beta-Hydroxy-17-alpha-ethynyl-delta-4-androstano(3,2-b)pyrimido(1,2-a)benzimidazole"	"NK1 tachykinin receptor antagonist"	NA	NA
"2635"	"4642"	"1"	"[H][C@@]12CCC3C4CC[C@H](C(=O)CO)[C@@]4(C)CCC3[C@@]1(C)CC[C@@H](O)C2"	"LOPAC"	"P2016"	"3-alpha,21-Dihydroxy-5-alpha-pregnan-20-one; 5-alpha-THDOC"	"Positive allosteric modulator of GABA-A receptors"	NA	NA
"2636"	"4643"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC=C21)C=C(O)C=C3"	"Prestwick"	"Prestw-850"	"Equilin"	NA	NA	NA
"2637"	"4647"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C"	"MIPE"	"NCGC00271596-04"	NA	"CAS:107868-30-4"	"Mechanism: Aromatase Inhibitor"	"Source: Selleck/S1196"
"2638"	"4648"	"1"	"[H][C@@]12CC=C(C3=CN=CC=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C"	"MIPE"	"NCGC00263148-02"	NA	"CAS:154229-19-3"	"Mechanism: Androgen Biosynthesis Inhibitor, Cytochrome P450 CYP17 (17alpha-Hydroxylase/C17-20 Lyase) Inhibitor"	"Source: Selleck/S1123"
"2639"	"4649"	"1"	"CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O"	"John Hopkins"	"JHU- 8250"	NA	"Therapeutic area: Steroid"	NA	NA
"2640"	"4650"	"1"	"[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS([O-])(=O)=O"	"LOPAC"	"D5297"	"Dehydroisoandrosterone 3-sulfate sodium; Dehydroepiandrosterone 3-sulfate sodium"	"Negative allosteric modulator of GABA-A receptors"	NA	NA
"2641"	"4652"	"1"	"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O"	"NIHCC"	"SAM001246751"	"GPHR-00104042"	NA	NA	NA
"2642"	"4654"	"1"	"C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C"	"John Hopkins"	"JHU- 7061"	NA	"Therapeutic area: Progestogen"	NA	NA
"2643"	"4655"	"1"	"CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O"	"John Hopkins"	"JHU- 636"	NA	"Therapeutic area: Steroid"	NA	NA
"2644"	"4656"	"1"	"[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"Prestwick"	"Prestw-957"	"Deoxycorticosterone"	NA	NA	NA
"2645"	"4657"	"1"	"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"MIPE"	"NCGC00346733-01"	NA	"CAS:58-22-0"	"Mechanism: Androgen Receptor Agonist"	"Source: Selleck/S2033"
"2646"	"4659"	"1"	"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"MIPE"	"NCGC00095023-04"	NA	"CAS:434-03-7"	"Mechanism: Progestogen hormone"	"Source: Selleck/S2611"
"2647"	"4660"	"1"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"LOPAC"	"R0500"	"Cortexolone; 11-Deoxycortisol"	"Precursor of cortisol biosynthesis"	NA	NA
"2648"	"4662"	"1"	"C[C@]12CCC3C(CCC4=CC5=C(C[C@]34C)C=NO5)C1CC[C@@]2(O)C#C"	"John Hopkins"	"JHU- 2733"	NA	"Therapeutic area: Steroid"	NA	NA
"2649"	"4663"	"1"	"CC12CCC3C(CCC4=C(O)C(=O)CCC34C)C1CCC2=O"	"LOPAC"	"A5791"	"4-Androsten-4-ol-3,17-dione; 4-OH-A; 4-Hydroxy-4-androstene-3,17-dione"	"Aromatase inhibitor"	NA	NA
"2650"	"4664"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C"	"LOPAC"	"A9755"	"Androsterone; 5a-Androstan-3a-ol-17-one; cis-Androsterone"	"Anabolic steroid"	NA	NA
"2651"	"4665"	"1"	"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C"	"LOPAC"	"A7755"	"5alpha-Androstane-3alpha,17beta-diol; Dihydroandrosterone; 3alpha,17beta-Dihydroxy-5alpha-androstane"	"Testosterone metabolite; affects sperm maturation and survival"	NA	NA
"2652"	"4666"	"1"	"[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@H](O)C2"	"Prestwick"	"Prestw-436"	"Digitoxigenin"	NA	NA	NA
"2653"	"4668"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CCC1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C"	"Prestwick"	"Prestw-697"	"3-alpha-Hydroxy-5-beta-androstan-17-one"	NA	NA	NA
"2654"	"4671"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C"	"Prestwick"	"Prestw-440"	"Epiandrosterone"	NA	NA	NA
"2655"	"4674"	"1"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C"	"Prestwick"	"Prestw-411"	"Androsterone"	NA	NA	NA
"2656"	"4675"	"1"	"[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C"	"MIPE"	"NCGC00263522-02"	NA	"CAS:164656-23-9"	"Mechanism: Steroid 5alpha-Reductase Inhibitors"	"Source: Selleck/S1202"
"2657"	"4676"	"1"	"[H][C@@]12CC[C@]3(O)C[C@@H](O)CC[C@]3(C=O)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1"	"Prestwick"	"Prestw-710"	"Strophanthidin"	NA	NA	NA
"2658"	"4677"	"1"	"C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2=O"	"John Hopkins"	"JHU- 3756"	NA	"Therapeutic area: Estrogen"	NA	NA
"2659"	"4678"	"1"	"CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O"	"John Hopkins"	"JHU- 3738"	NA	"Therapeutic area: Estrogen"	NA	NA
"2660"	"4680"	"1"	"C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC[C@@]2(O)C#C"	"John Hopkins"	"JHU- 3796"	NA	"Therapeutic area: Estrogen"	NA	NA
"2661"	"4681"	"1"	"CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CC(O)C2O"	"John Hopkins"	"JHU- 3629"	NA	"Therapeutic area: Estrogen, Steroid"	NA	NA
"2662"	"4683"	"1"	"[H][C@@]12CC[C@H](OP(O)(O)=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)N(CCCl)CCCl)C=C3"	"MIPE"	"NCGC00185756-01"	NA	"CAS:2998-57-4"	"Mechanism: DNA Alkylating Agent, steroid"	"Source: OChemInc/998E574 "
"2663"	"4685"	"1"	"C[C@]12CC[C@H]3[C@@H](CCC4=CC(OS([O-])(=O)=O)=CC=C34)[C@@H]1CCC2=O"	"NIHCC"	"SAM001246904"	"GPHR-00104254"	NA	NA	NA
"2664"	"4687"	"1"	"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H]"	"MIPE"	"NCGC00164789-05"	NA	"CAS:129453-61-8"	"Mechanism: Estrogen Receptor Antagonist"	"Source: Selleck/S1191"
"2665"	"4688"	"1"	"[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"	"LOPAC"	"T6376"	"Triamcinolone; Fluoxyprednisolone"	"Synthetic glucocorticoid agonist; inducer of gene expression and apoptosis"	NA	NA
"2666"	"4690"	"1"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"	"MIPE"	"NCGC00179649-07"	NA	"CAS:50-24-8"	"Mechanism: Glucocorticoid steroid"	"Source: Selleck/S1737"
"2667"	"4691"	"1"	"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC([O-])=O"	"NIHCC"	"SAM001246897"	"GPHR-00104192"	NA	NA	NA
"2668"	"4692"	"1"	"CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO"	"John Hopkins"	"JHU- 12844"	NA	NA	NA	NA
"2669"	"4694"	"1"	"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"	"LOPAC"	"H4001"	"Hydrocortisone; Cortisol"	"Primary glucocorticoid secreted by the adrenal cortex"	NA	NA
"2670"	"4695"	"1"	"C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O"	"John Hopkins"	"JHU- 4894"	NA	"Therapeutic area: Glucocorticoid"	NA	NA
"2671"	"4697"	"1"	"CC12C3CCC(O3)C1(C)C(=O)OC2=O"	"LOPAC"	"C7632"	"Cantharidin; Cantharidine"	"Protein phosphatase 2A inhibitor"	NA	NA
"2672"	"4698"	"1"	"OC(=O)C=C/C(O)=O.C[C@]12N[C@H](CC3=C1C=CC=C3)C1=C2C=CC=C1"	"LOPAC"	"M107"	"(+)-MK-801 hydrogen maleate; Dizocilipine maleate"	"Highly potent and selective non-competitive NMDA glutamate receptor antagonist "	NA	NA
"2673"	"4700"	"1"	"[I-].C[N+](C)(C)CC#CCN1CCCC1=O"	"LOPAC"	"O100"	"Oxotremorine methiodide; N,N,N-Trimethyl-4-(2-oxo-1-pyrrolidinyl)-2-butyn-1-ammonium iodide"	"Nonselective muscarinic acetylcholine receptor agonist"	NA	NA
"2674"	"4701"	"1"	"[Cl-].C[N+](C)(C)CC#CCOC(=O)NC1=CC=CC(Cl)=C1"	"LOPAC"	"C7041"	"McN-A-343; (4-Hydroxy-2-butynyl)-1-trimethylammonium-m-chlorocarbanilate chloride"	"M1 muscarinic acetylcholine receptor agonist."	NA	NA
"2675"	"4702"	"1"	"C[N+](C)(C)CC(O)CC(O)=O"	"John Hopkins"	"JHU- 5662"	NA	"Therapeutic area: Antihyperlipidemic"	NA	NA
"2676"	"4705"	"1"	"[Cl-].[H]C(=O)C[N+](C)(C)C"	"LOPAC"	"B3650"	"Betaine aldehyde chloride; (Formylmethyl)trimethylammonium chloride"	"Intermediate in choline-betaine osmoregulatory pathway; product of choline dehydrogenation"	NA	NA
"2677"	"4706"	"0.408450704225352"	"[I-].C[N+](C)(C)CCC(=O)C1=CC=CC2=CC=CC=C12"	"LOPAC"	"N7906"	"2-(alpha-Naphthoyl)ethyltrimethylammonium iodide; alpha-NETA"	"Selective, fluorescent inhibitor of choline acetyltransferase"	NA	NA
"2678"	"4707"	"1"	"C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C"	"John Hopkins"	"JHU- 2782"	NA	"Therapeutic area: Muscle relaxant (skeletal)"	NA	NA
"2679"	"4708"	"1"	"[Cl-].[Cl-].C[N+](C)(C)CCCCCC[N+](C)(C)C"	"John Hopkins"	"JHU- 12325"	NA	"Therapeutic area: Antihypertensive"	NA	NA
"2680"	"4711"	"1"	"[Br-].C[N+](C)(C)CCOC(=O)CBr"	"LOPAC"	"B121"	"Bromoacetylcholine bromide; 2-(2-Bromoacetyloxy)-N,N,N-trimethylethanaminium bromide"	"Affinity alkylating agent of nicotinic acetylcholine receptors"	NA	NA
"2681"	"4713"	"1"	"C[N+](C)(C)CCOC(N)=O"	"John Hopkins"	"JHU- 1724"	NA	"Therapeutic area: Cholinergic"	NA	NA
"2682"	"4714"	"1"	"[Na+].C[N](C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O"	"LOPAC"	"C0256"	"Citicoline sodium; CDP-coline; Citidine (5')-diphosphocholine sodium"	"Phospholipase A2 inhibitor; neuroprotective in situations of hypoxia and ischemia"	NA	NA
"2683"	"4715"	"1"	"[I-].[I-].C[N+](C)(C)CC[N+]1(C)CC2=C(C1)C(Cl)=C(Cl)C(Cl)=C2Cl"	"Tocris"	"1001"	"Chlorisondamine diiodide"	"CAS: 69-27-2"	"Nicotinic antagonist; slow offset"	NA
"2684"	"4719"	"0.417840375586854"	"[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23)CCCN1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23"	"LOPAC"	"W4761"	"WB 64; N,N'-Tetramethyl-bis[(1,8-naphthylimid-9-yl)propyl-N,N'-hexane-1,6-diyl-bis-ammonium bromide"	"Ligand for the allosteric site of the M2 muscarinic acetylcholine receptor."	NA	NA
"2685"	"4720"	"1"	"OC1=C(C=C2C=CC=CC2=C1)C([O-])=O.C[N+](C)(CCOC1=CC=CC=C1)CC1=CC=CC=C1"	"John Hopkins"	"JHU- 1145"	NA	"Therapeutic area: Anthelminithic"	NA	NA
"2686"	"4721"	"0.544600938967135"	"C[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1"	"John Hopkins"	"JHU- 6343"	NA	"Therapeutic area: Mydriatic"	NA	NA
"2687"	"4722"	"1"	"[I-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C1=CNC2=C1C=CC=C2"	"LOPAC"	"T113"	"3-Tropanylindole-3-carboxylate methiodide"	"Potent, water soluble 5-HT3 serotonin receptor antagonist"	NA	NA
"2688"	"4724"	"1"	"C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1"	"John Hopkins"	"JHU- 4657"	NA	"Therapeutic area: Antispasmodic"	NA	NA
"2689"	"4726"	"1"	"[I-].C[N+]1(C)CCC(CC1)OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1"	"LOPAC"	"D104"	"4-DAMP methiodide; 4-Diphenylacetoxy-N-methylpiperidine methiodide"	"M3 muscarinic acetylcholine receptor antagonist."	NA	NA
"2690"	"4727"	"1"	"C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1"	"John Hopkins"	"JHU- 6142"	NA	"Therapeutic area: Antispasmodic"	NA	NA
"2691"	"4728"	"1"	"Cl.C[N+]1(C)CCC[C@H]1C([O-])=O"	"Prestwick"	"Prestw-622"	"Stachydrine hydrochloride"	NA	NA	NA
"2692"	"4729"	"0.544600938967135"	"[I-].C[N+]1(C)CCN(CC1)C1=CC=CC=C1"	"LOPAC"	"D5891"	"1,1-Dimethyl-4-phenyl-piperazinium iodide; DMPP"	"Nicotinic acetylcholine receptor agonist"	NA	NA
"2693"	"4730"	"1"	"[Br-].[Br-].C[N+]1(C)CCOC(O)(C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1(O)C[N+](C)(C)CCO1"	"John Hopkins"	"JHU- 12879"	NA	NA	NA	NA
"2694"	"4731"	"1"	"[Br-].[H][C@]1(OC(=O)C2=C1C=CC1=C2OCO1)[C@]1([H])C2=C(CC[N+]1(C)C)C=C1OCOC1=C2"	"LOPAC"	"B103"	"(-)-Bicuculline methbromide, 1(S), 9(R)"	"GABA-A receptor antagonist"	NA	NA
"2695"	"4733"	"1"	"[Br-].C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1"	"MIPE"	"NCGC00167971-03"	NA	"CAS:136310-93-5"	"Mechanism: Muscarinic M3 Antagonists "	"Source: Selleck/S2546/S2547 (hydrate)"
"2696"	"4739"	"1"	"[Cl-].C[N+]1=CC2=CC3=C(OCO3)C=C2CC1"	"Prestwick"	"Prestw-195"	"Hydrastinine hydrochloride"	NA	NA	NA
"2697"	"4740"	"0.417840375586854"	"OC(=O)C1=C(O)C=CC(=C1)S(O)(=O)=O.CN(C)C1C2C(O)C3C(=C)C4=C(C(O)=CC=C4Cl)C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O"	"John Hopkins"	"JHU- 6047"	NA	"Therapeutic area: Antibacterial"	NA	NA
"2698"	"4742"	"1"	"CN(C)C1C2CC3C(O)C4=C(Cl)C=CC(O)=C4C(O)=C3C(=O)C2(O)C(O)=C(C(N)=O)C1=O"	"NIHCC2"	"CPD001496930"	"CPD001496930
Demeclocycline
64-73-3"	"Pubchem SID:104170101"	NA	NA
"2699"	"4743"	"1"	"CN(C)C1CCN(CC1)C(=O)C1=CC=C(NC(=O)NC2=NC(=NC(=N2)N2CCOCC2)N2CCOCC2)C=C1"	"MIPE"	"NCGC00250398-01"	NA	"CAS:1197160-78-3"	"Mechanism: mTOR inhibitor, FRAP1/PI3Kalpha/PI3Kgamma Inhibitor"	"Source: Selleck/S2628"
"2700"	"4745"	"0.0403207944798373"	"CN(C)CC(=O)N1CCC(CC1)C1=CC=C(NC(=O)C2=NC(=CN2)C#N)C(=C1)C1=CCCCC1"	"MIPE"	"NCGC00345853-01"	NA	"CAS:885692-52-4"	"Mechanism: CSF1R (c-FMS) Inhibitor"	"Source: SynKinase/SYN-1154"
"2701"	"4747"	"1"	"CN(C)CC(O)COC1=CC=C(NC2=NC(=CC=N2)C2=C3C=CC(=NN3N=C2)N2CCOCC2)C=C1"	"PKIS2"	"GW767488X"	NA	NA	NA	NA
"2702"	"4748"	"1"	"CN(C)CC1CCCC(=CC2=CC=C(OC(=O)C=CC3=CC=CC=C3)C=C2)C1=O"	"NCI"	"GPHR-00221413"	NA	NA	NA	NA
"2703"	"4749"	"1"	"CN(C)CCC(C1=CC=C(Br)C=C1)C1=NC=CC=C1"	"John Hopkins"	"JHU- 1413"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"2704"	"4750"	"1"	"CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1"	"John Hopkins"	"JHU- 2082"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"2705"	"4751"	"1"	"CN(C)CCC(C1=CC=CC=C1)C1=NC=CC=C1"	"John Hopkins"	"JHU- 7748"	NA	"Therapeutic area: Antihistaminic"	NA	NA
"2706"	"4752"	"1"	"Cl.CN(C)CCC1(CC2=CC=CC=C2C(=O)O1)C1=CC=C(Cl)C=C1"	"Tocris"	"2484"	"AC 7954, ()-"	"CAS: 477313-09-0"	"Urotensin II (UT) receptor agonist"	NA
"2707"	"4754"	"1"	"Cl.CN(C)CCC=C1C2=CC=CC=C2C=CC2=C1C=CC=C2"	"LOPAC"	"C4542"	"Cyclobenzaprine hydrochloride; 5-(3-Dimethylaminopropylidene)dibenzo[a,e]cycloheptatriene hydrochloride"	"5-HT2 serotonin receptor antagonist"	NA	NA
"2708"	"4755"	"1"	"CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2"	"John Hopkins"	"JHU- 532"	NA	"Therapeutic area: Antidepressant"	NA	NA
"2709"	"4757"	"1"	"OC(=O)C(O)=O.CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	"John Hopkins"	"JHU- 3718"	NA	"Therapeutic area: Antidepressant"	NA	NA
"2710"	"4761"	"1"	"Cl.Cl.CN(C)CCCCSC(N)=N"	"LOPAC"	"S145"	"SKF 91488 dihydrochloride; 4-(N,N-Dimethylamino)butylisothiourea dihydrochloride"	"Histamine N-methyltransferase inhibitor"	NA	NA
"2711"	"4762"	"1"	"CN(C)CCCN1C2=C(SC3=C1C(Cl)=CC=C3)C1=C(C=CC=C1)C=C2"	"NCI"	"GPHR-00221544"	NA	NA	NA	NA
"2712"	"4763"	"0.408450704225352"	"CN(C)CCCN1C2=C(CCC3=C1C=C(Cl)C=C3)C=CC=C2"	"John Hopkins"	"JHU- 2382"	NA	"Therapeutic area: Antidepressant"	NA	NA
"2713"	"4764"	"1"	"CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2"	"John Hopkins"	"JHU- 5051"	NA	"Therapeutic area: Antidepressant, Anticonvulsant"	NA	NA
"2714"	"4765"	"0.408450704225352"	"CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2"	"John Hopkins"	"JHU- 2090"	NA	"Therapeutic area: Antiemetic"	NA	NA
"2715"	"4766"	"1"	"CN(C)CCCN1C2=C(SC3=C1C=C(C=C3)C(C)=O)C=CC=C2"	"John Hopkins"	"JHU- 86"	NA	"Therapeutic area: Sedative"	NA	NA
"2716"	"4767"	"0.408450704225352"	"CN(C)CCCN1C2=C(SC3=C1C=C(C=C3)C(F)(F)F)C=CC=C2"	"John Hopkins"	"JHU- 10474"	NA	"Therapeutic area: Antipsychotic"	NA	NA
"2717"	"4768"	"1"	"CN(C)CCCN1C2=C(SC3=C1C1=C(C=CC=C1)C=C3)C=CC=C2"	"NCI"	"GPHR-00221209"	NA	NA	NA	NA
"2718"	"4769"	"1"	"CN(C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C2"	"John Hopkins"	"JHU- 8368"	NA	"Therapeutic area: Antipsychotic"	NA	NA
"2719"	"4770"	"1"	"CN(C)CCCNC(=O)C1=CC=C(C=C1)C1=CC2=CC=CN=C2C(O)=C1"	"MIPE"	"NCGC00183808-06"	NA	"CAS:1222800-79-4"	"Mechanism: JMJ inhibitor"	"Source: in house synthesis"
"2720"	"4774"	"1"	"CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=C1C=CC=C2"	"John Hopkins"	"JHU- 1129"	NA	"Therapeutic area: Analgesic"	NA	NA
"2721"	"4775"	"1"	"Cl.Cl.CN(C)CCCSC(N)=N"	"Prestwick"	"Prestw-983"	"Dimaprit dihydrochloride"	NA	NA	NA
"2722"	"4776"	"1"	"CN(C)CCCSC1=CC=CC=C1NC(=O)C=CC1=CC=CC=C1"	"NIHCC"	"SAM001246974"	"GPHR-00104280"	NA	NA	NA
